City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,vorkuta,67.5,64.0,13.46,49,79,1.93,RU,1694500326
362,al burayqah,30.4062,19.5739,25.32,63,0,4.1,LY,1694500327
363,tshabong,-26.05,22.45,9.15,34,0,8.58,BW,1694500327
364,okha,53.5739,142.9478,17.68,83,94,6.31,RU,1694500328
365,cabedelo,-6.9811,-34.8339,23.37,83,22,7.67,BR,1694500261
366,kotra,25.8167,79.3167,32.17,65,96,3.23,IN,1694500329
367,krotoszyn,51.6987,17.4374,23.37,49,50,1.84,PL,1694500329
368,campbellton,48.0075,-66.6727,14.97,99,100,1.47,CA,1694500056
369,nizhnesortymskiy,62.4397,71.7603,18.93,51,50,3.16,RU,1694500330
370,mili,6.0815,171.735,28.37,78,97,5.09,MH,1694500330
371,alice springs,-23.7,133.8833,25.75,10,0,7.2,AU,1694500238
372,midvagur,62.0511,-7.1939,6.46,81,40,5.66,FO,1694500331
373,del rio,29.3627,-100.8968,31.06,47,0,6.17,US,1694500134
374,glace bay,46.1969,-59.957,18.38,98,100,3.6,CA,1694500332
375,warrenton,-28.114,24.8475,7.23,26,19,7.73,ZA,1694500332
376,kalabo,-14.97,22.6814,25.67,17,0,6.05,ZM,1694500332
377,jamaame,0.0697,42.745,30.46,54,14,5.5,SO,1694500333
378,urangan,-25.3,152.9,20.0,61,35,7.3,AU,1694500221
379,maturin,9.75,-63.1767,25.91,100,0,2.06,VE,1694500334
380,klaksvik,62.2266,-6.589,6.51,74,98,9.05,FO,1694500335
381,tibanbang,6.6315,126.1055,29.15,71,34,3.34,PH,1694500335
382,lerwick,60.1545,-1.1494,11.0,72,21,9.31,GB,1694500291
383,puerto armuelles,8.2833,-82.8667,27.87,72,96,0.45,PA,1694500336
384,moelan-sur-mer,47.8142,-3.6289,17.23,100,75,0.51,FR,1694500337
385,hilo,19.7297,-155.09,23.47,95,100,1.54,US,1694500337
386,sergeyevka,53.88,67.4158,14.59,54,34,8.8,KZ,1694500338
387,lame,10.4415,9.2396,22.65,76,100,0.85,NG,1694500338
388,bonthe,7.5264,-12.505,24.95,89,18,0.96,SL,1694500338
389,arvika,59.6553,12.5852,17.34,92,100,3.05,SE,1694500339
390,paita,-5.0892,-81.1144,19.84,84,87,4.37,PE,1694500339
391,ingersoll,43.0334,-80.883,18.09,85,100,2.19,CA,1694500340
392,uvira,-3.4067,29.1458,25.96,66,88,2.37,CD,1694500340
393,shihezi,44.3,86.0333,28.32,30,100,7.75,CN,1694500341
394,aioun,16.6614,-9.6149,31.16,47,71,4.76,MR,1694500341
395,codrington,-38.2667,141.9667,17.44,65,18,3.33,AU,1694500342
396,taltal,-25.4,-70.4833,15.46,79,3,0.97,CL,1694500343
397,ulladulla,-35.35,150.4667,17.07,61,57,3.47,AU,1694500343
398,ola,59.5833,151.2833,12.86,70,99,1.82,RU,1694500344
399,oeiras,-7.0253,-42.1311,24.25,56,0,4.45,BR,1694500344
400,ko pha ngan,9.7578,100.0291,26.38,75,100,2.79,TH,1694500344
401,malabar,-33.9667,151.25,20.01,64,75,5.14,AU,1694500345
402,ayorou,14.7308,0.9174,33.92,35,8,3.78,NE,1694500345
403,mgandu,-5.95,34.1333,24.63,46,13,3.74,TZ,1694500346
404,new glasgow,45.5834,-62.6486,19.32,99,100,1.42,CA,1694500346
405,auki,-8.7676,160.7034,26.33,84,100,2.22,SB,1694500347
406,kolonia,50.9333,6.95,21.09,84,40,0.51,DE,1694500233
407,alaghsas,17.0187,8.0168,28.94,34,0,4.12,NE,1694500347
408,argo,37.6333,22.7333,26.55,34,0,4.13,GR,1694500348
409,urbano santos,-3.2078,-43.4036,24.09,86,37,2.33,BR,1694500348
410,opuwo,-18.0607,13.84,21.07,11,0,6.07,NA,1694500349
